name,id,categories,lat,long,checkins
Oggi's Pizza & Brewing Company,43af1eb4f964a520902c1fe3,Pizza Place,32.7799097253,-117.129052877,5353
Islands Restaurant,4aaac112f964a520375720e3,Burger Joint,32.78155627,-117.1304351,5171
Balboa's Taphouse,538a1da7498e63a9b048cff1,Pub,32.8241388138,-117.183378617,276
Blarney Stone Pub,40e0b100f964a520b4011fe3,Pub,32.8183850376,-117.178514034,3530
Helm's Brewing Co.,5071cb6e8055ef6b1986851a,Brewery,32.8371839544,-117.138966322,1108
Carve Modern Deli & Beer,58ba4d7fea29b814257af65c,Deli / Bodega,32.808876,-117.141435,9
Karaoke 101 Lounge,4f5d8166e4b0b28dd5cc1034,Karaoke Bar,32.8329380104,-117.156422138,758
Daisy Mesa,554aefbe498e8195ef6a6076,Lounge,32.8071478596,-117.126386241,225
McGregor's Grill & Ale House,40e0b100f964a52071021fe3,Sports Bar,32.7844964493,-117.111082077,6937
O'Brien's Pub,40e0b100f964a52085021fe3,Pub,32.8252646248,-117.155878127,9368
Societe Brewing Company,4f35ab6ae4b0156e8593c1cd,Brewery,32.8337425538,-117.146015418,7565
Common Theory Public House,53863e16498e5b2ac3cf75e3,Gastropub,32.829269,-117.152757,2268
Elbow Room San Diego,4ebc2bfe77c8d9bd1bdaf2ba,Bar,32.829356,-117.140967,2579
Courtyard San Diego Central,4aa4aa25f964a520324720e3,Hotel,32.8260328472,-117.142316062,2827
San Diego Brewing Company,40e0b100f964a520b2021fe3,Brewery,32.792241,-117.098914839,5321
Council Brewing Co.,536c35df498e66e48fedda3d,Brewery,32.8344709271,-117.154269797,1586
Chorus Karaoke and Cafe,4aab64e9f964a5208d5920e3,Karaoke Bar,32.8204743167,-117.156037,2738
Nara Ultra Lounge,51f4943a498e02711f0e8786,Lounge,32.8321104627,-117.149875545,703
Bullpen Bar & Grill,4a82377ef964a520edf81fe3,Sports Bar,32.8322936036,-117.148071863,3438
94th Aero Squadron,40e0b100f964a5209a011fe3,American Restaurant,32.8196854111,-117.136841581,3303
Islands Restaurant,4ac2b524f964a520739a20e3,Burger Joint,32.82123639,-117.160035,3598
Min Sok Chon,4a81299bf964a520a8f61fe3,Korean Restaurant,32.8243883209,-117.155941311,4515
The Library Tavern,4a8a038ff964a520a60920e3,Cocktail Bar,32.8067876358,-117.077302253,4043
SOHO,56302903498e7d4770666700,Cocktail Bar,32.824882,-117.15468,287
Wa Dining OKAN,4a8f6310f964a5201f1520e3,Japanese Restaurant,32.8141736106,-117.153816016,1664
The Locker Room,4e38a027b0fb2f7ee85f948d,Pub,32.8365486906,-117.139466823,72
Khan's Cave Grill and Tavern,489edf33f964a52084511fe3,Asian Restaurant,32.8324277764,-117.127081365,2936
Pampas Bar & Grill,4bc3ab50920eb713bed21d2c,Argentinian Restaurant,32.8099350545,-117.14106378,669
Groundswell Brewing Co.,5276e7ef11d283debf5c41ec,Brewery,32.7890154511,-117.099774432,580
The Break Room,50d536cce4b021b27f92b091,Pool Hall,32.8194881817,-117.154200868,659
Quantum Brewing,5397c229498e9adfe3e4156b,Brewery,32.8306283625,-117.139260021,230
Benchmark Brewing Company,511ac75ae4b0e23900ac9a42,Brewery,32.787131947,-117.102043923,1017
Kilowatt Brewing Company,54f279fd498ea31299ec30bf,Brewery,32.8330886694,-117.156389344,554
Longhorn Bar & Grill,4cdc5940958f236aeb0eb203,American Restaurant,32.7916213495,-117.096631576,924
Spot KTV,4f1cc6b3e4b0e6badd01b770,Karaoke Bar,32.831504457,-117.160502006,225
The Clairemont Lounge,58706b095e56b41e0ad68af6,Lounge,32.82732,-117.17195,23
JP's Pub,4c37f94e3849c92875cfbeb1,Bar,32.830153,-117.10457412,1289
Excalibur Cigar Lounge,4aa54e19f964a520f44720e3,Lounge,32.83233,-117.147539,946
