name,price,happyHour,rating,numRatings,categories,lat,long,checkins,url,fs_url
Oggi's Pizza & Brewing Company,$$,True,8.0,88,Pizza Place,32.7799097253,-117.129052877,5353,http://oggis-hub.com,https://foursquare.com/v/oggis-pizza--brewing-company/43af1eb4f964a520902c1fe3
Islands Restaurant,$$,True,8.0,109,Burger Joint,32.78155627,-117.1304351,5171,http://www.islandsrestaurants.com,https://foursquare.com/v/islands-restaurant/4aaac112f964a520375720e3
Balboa's Taphouse,$,True,7.8,12,Pub,32.8241388138,-117.183378617,276,,https://foursquare.com/v/balboas-taphouse/538a1da7498e63a9b048cff1
Blarney Stone Pub,$,True,7.9,75,Pub,32.8183850376,-117.178514034,3530,http://www.blarneystonesandiego.com,https://foursquare.com/v/blarney-stone-pub/40e0b100f964a520b4011fe3
Helm's Brewing Co.,$,False,8.2,52,Brewery,32.8371839544,-117.138966322,1108,http://helmsbrewingco.com,https://foursquare.com/helmsbrewingco
Carve Modern Deli & Beer,$,True,,,Deli / Bodega,32.808876,-117.141435,9,http://www.carvesd.com,https://foursquare.com/v/carve-modern-deli--beer/58ba4d7fea29b814257af65c
Karaoke 101 Lounge,$$,False,7.7,28,Karaoke Bar,32.8329380104,-117.156422138,758,http://karaoke101.net,https://foursquare.com/v/karaoke-101-lounge/4f5d8166e4b0b28dd5cc1034
Daisy Mesa,,False,,,Lounge,32.8071478596,-117.126386241,225,,https://foursquare.com/v/daisy-mesa/554aefbe498e8195ef6a6076
McGregor's Grill & Ale House,$$,True,7.8,116,Sports Bar,32.7844964493,-117.111082077,6937,http://mcgregorssandiego.com,https://foursquare.com/v/mcgregors-grill--ale-house/40e0b100f964a52071021fe3
O'Brien's Pub,$$,False,9.0,188,Pub,32.8252646248,-117.155878127,9368,http://obrienspub.net,https://foursquare.com/v/obriens-pub/40e0b100f964a52085021fe3
Societe Brewing Company,$,False,9.4,389,Brewery,32.8337425538,-117.146015418,7565,http://societebrewing.com,https://foursquare.com/societebrewing
Common Theory Public House,$$$,True,7.7,123,Gastropub,32.829269,-117.152757,2268,http://commontheorysd.com,https://foursquare.com/v/common-theory-public-house/53863e16498e5b2ac3cf75e3
Elbow Room San Diego,$$,False,7.8,99,Bar,32.829356,-117.140967,2579,http://www.elbowroomsd.com,https://foursquare.com/elbowroomsd
Courtyard San Diego Central,,False,6.7,45,Hotel,32.8260328472,-117.142316062,2827,http://www.marriott.com/sancy,https://foursquare.com/courtyard_sd
San Diego Brewing Company,$$,True,8.1,127,Brewery,32.792241,-117.098914839,5321,http://sandiegobrewing.com,https://foursquare.com/v/san-diego-brewing-company/40e0b100f964a520b2021fe3
Council Brewing Co.,$$,True,8.7,90,Brewery,32.8344709271,-117.154269797,1586,http://councilbrew.com,https://foursquare.com/v/council-brewing-co/536c35df498e66e48fedda3d
Chorus Karaoke and Cafe,$$,True,6.9,49,Karaoke Bar,32.8204743167,-117.156037,2738,,https://foursquare.com/v/chorus-karaoke-and-cafe/4aab64e9f964a5208d5920e3
Nara Ultra Lounge,$$$,True,6.8,32,Lounge,32.8321104627,-117.149875545,703,http://naraultralounge.com,https://foursquare.com/v/nara-ultra-lounge/51f4943a498e02711f0e8786
Bullpen Bar & Grill,$$,True,7.5,77,Sports Bar,32.8322936036,-117.148071863,3438,http://www.bullpenbar.com,https://foursquare.com/v/bullpen-bar--grill/4a82377ef964a520edf81fe3
